month,year,full_time,part_time,grand_total,carrier
1,2004,1717,492,2209,9E
2,2004,1748,486,2234,9E
3,2004,1766,462,2228,9E
4,2004,1827,457,2284,9E
5,2004,1913,487,2400,9E
6,2004,1966,511,2477,9E
7,2004,1957,614,2571,9E
8,2004,1948,710,2658,9E
9,2004,2010,816,2826,9E
10,2004,2054,867,2921,9E
11,2004,2098,912,3010,9E
12,2004,2154,902,3056,9E
1,2005,2150,947,3097,9E
2,2005,2244,1018,3262,9E
3,2005,2315,1035,3350,9E
4,2005,2371,1041,3412,9E
5,2005,2459,1009,3468,9E
6,2005,2539,1025,3564,9E
7,2005,2542,1057,3599,9E
8,2005,2568,1052,3620,9E
9,2005,2555,1050,3605,9E
10,2005,2506,1001,3507,9E
11,2005,2495,953,3448,9E
12,2005,2500,936,3436,9E
1,2006,2482,961,3443,9E
2,2006,2509,963,3472,9E
3,2006,2530,1018,3548,9E
4,2006,2521,1031,3552,9E
5,2006,2486,1038,3524,9E
6,2006,2531,1036,3567,9E
7,2006,2537,1022,3559,9E
8,2006,2552,997,3549,9E
9,2006,2572,982,3554,9E
10,2006,2640,1032,3672,9E
11,2006,2640,1026,3666,9E
12,2006,2716,1144,3860,9E
1,2007,2476,1436,3912,9E
2,2007,2725,1198,3923,9E
3,2007,2795,1145,3940,9E
4,2007,2789,1174,3963,9E
5,2007,2770,1224,3994,9E
6,2007,2817,1280,4097,9E
7,2007,2865,1254,4119,9E
8,2007,2884,1223,4107,9E
9,2007,2929,1229,4158,9E
10,2007,2927,1189,4116,9E
11,2007,2919,1189,4108,9E
12,2007,2452,1662,4114,9E
1,2008,2979,1180,4159,9E
2,2008,3012,1166,4178,9E
3,2008,2890,1171,4061,9E
4,2008,2904,1159,4063,9E
5,2008,2934,1160,4094,9E
6,2008,2708,1432,4140,9E
7,2008,2970,1179,4149,9E
8,2008,2985,1189,4174,9E
9,2008,2996,1168,4164,9E
10,2008,3016,1156,4172,9E
11,2008,3023,1168,4191,9E
12,2008,3040,1164,4204,9E
1,2009,3040,1164,4204,9E
2,2009,3031,1158,4189,9E
3,2009,2874,1171,4045,9E
4,2009,2874,1171,4045,9E
5,2009,2809,1137,3946,9E
6,2009,2809,1137,3946,9E
7,2009,2745,1122,3867,9E
8,2009,2766,1164,3930,9E
9,2009,2803,1100,3903,9E
10,2009,2802,1100,3902,9E
11,2009,2788,1085,3873,9E
12,2009,2780,1071,3851,9E
1,2010,2774,1062,3836,9E
2,2010,2761,1032,3793,9E
3,2010,2778,1022,3800,9E
4,2010,2748,1060,3808,9E
5,2010,2761,1078,3839,9E
6,2010,2782,1077,3859,9E
7,2010,2758,1086,3844,9E
8,2010,2892,1084,3976,9E
9,2010,2888,1121,4009,9E
10,2010,2871,1099,3970,9E
11,2010,2900,1093,3993,9E
12,2010,2905,1071,3976,9E
1,2011,2898,1066,3964,9E
2,2011,2915,1066,3981,9E
3,2011,2953,1052,4005,9E
4,2011,3013,1020,4033,9E
5,2011,3057,1010,4067,9E
6,2011,3054,1002,4056,9E
7,2011,3131,991,4122,9E
8,2011,3166,982,4148,9E
9,2011,3174,976,4150,9E
10,2011,3272,972,4244,9E
11,2011,3266,958,4224,9E
12,2011,3389,944,4333,9E
1,2012,4774,821,5595,9E
2,2012,4683,809,5492,9E
3,2012,4663,795,5458,9E
4,2012,4305,751,5056,9E
5,2012,4453,749,5202,9E
6,2012,4422,767,5189,9E
7,2012,4461,684,5145,9E
8,2012,4247,514,4761,9E
9,2012,4209,162,4371,9E
10,2012,4647,205,4852,9E
11,2012,4650,199,4849,9E
12,2012,4634,196,4830,9E
1,2013,4798,208,5006,9E
2,2013,4398,174,4572,9E
3,2013,4346,171,4517,9E
4,2013,4320,147,4467,9E
5,2013,4295,145,4440,9E
6,2013,4082,125,4207,9E
7,2013,4033,122,4155,9E
8,2013,4009,119,4128,9E
9,2013,3977,118,4095,9E
10,2013,3993,117,4110,9E
11,2013,3932,110,4042,9E
12,2013,3880,79,3959,9E
1,2014,3868,86,3954,9E
2,2014,3836,112,3948,9E
3,2014,3797,120,3917,9E
4,2014,3765,113,3878,9E
5,2014,3782,112,3894,9E
6,2014,3760,111,3871,9E
7,2014,3731,108,3839,9E
8,2014,3686,109,3795,9E
9,2014,3612,108,3720,9E
10,2014,3555,107,3662,9E
11,2014,3497,106,3603,9E
12,2014,3395,103,3498,9E
1,2015,3339,87,3426,9E
2,2015,3256,99,3355,9E
3,2015,3253,97,3350,9E
4,2015,3222,96,3318,9E
5,2015,3200,94,3294,9E
6,2015,3186,91,3277,9E
7,2015,3202,90,3292,9E
8,2015,3197,91,3288,9E
9,2015,3207,87,3294,9E
10,2015,3230,90,3320,9E
11,2015,3245,96,3341,9E
12,2015,3244,95,3339,9E
