Year,Avg_Age,Airline
2015,16.1069330199765,Endeavor Air Inc.
2016,17.102813852813853,Endeavor Air Inc.
2017,17.735869565217392,Endeavor Air Inc.
2018,17.05913410770855,Endeavor Air Inc.
2019,15.645226130653267,Endeavor Air Inc.
2020,17.260821309655938,Endeavor Air Inc.
2021,17.46588486140725,Endeavor Air Inc.
2022,17.174482006543077,Endeavor Air Inc.
2023,16.480908152734777,Endeavor Air Inc.
2015,13.703389830508474,American Airlines Inc.
2016,11.017486338797815,American Airlines Inc.
2017,10.329694323144105,American Airlines Inc.
2018,10.43630214205186,American Airlines Inc.
2019,10.701442841287458,American Airlines Inc.
2020,11.27891156462585,American Airlines Inc.
2021,11.920427553444181,American Airlines Inc.
2022,12.657375145180023,American Airlines Inc.
2023,12.351445086705203,American Airlines Inc.
2015,8.068376068376068,Alaska Airlines Inc.
2016,7.759124087591241,Alaska Airlines Inc.
2017,7.191489361702128,Alaska Airlines Inc.
2018,7.314465408805032,Alaska Airlines Inc.
2019,8.067073170731707,Alaska Airlines Inc.
2020,9.074074074074074,Alaska Airlines Inc.
2021,9.975,Alaska Airlines Inc.
2022,9.966101694915254,Alaska Airlines Inc.
2023,9.443349753694582,Alaska Airlines Inc.
2015,7.12751677852349,JetBlue Airways
2016,7.893491124260355,JetBlue Airways
2017,8.445652173913043,JetBlue Airways
2018,8.869346733668342,JetBlue Airways
2019,9.735294117647058,JetBlue Airways
2020,9.518518518518519,JetBlue Airways
2021,10.14795918367347,JetBlue Airways
2022,10.826732673267326,JetBlue Airways
2023,10.79111111111111,JetBlue Airways
2015,16.1069330199765,Delta Air Lines Inc.
2016,17.102813852813853,Delta Air Lines Inc.
2017,17.735869565217392,Delta Air Lines Inc.
2018,17.05913410770855,Delta Air Lines Inc.
2019,15.645226130653267,Delta Air Lines Inc.
2020,17.260821309655938,Delta Air Lines Inc.
2021,17.46588486140725,Delta Air Lines Inc.
2022,17.174482006543077,Delta Air Lines Inc.
2023,16.480908152734777,Delta Air Lines Inc.
2015,26.0,Frontier Airlines Inc.
2016,23.875,Frontier Airlines Inc.
2017,21.333333333333332,Frontier Airlines Inc.
2018,29.3,Frontier Airlines Inc.
2019,24.866666666666667,Frontier Airlines Inc.
2020,26.9,Frontier Airlines Inc.
2021,31.25,Frontier Airlines Inc.
2022,30.08823529411765,Frontier Airlines Inc.
2023,30.34285714285714,Frontier Airlines Inc.
2015,,Allegiant Air
2016,-8.0,Allegiant Air
2017,0.0,Allegiant Air
2018,4.083333333333333,Allegiant Air
2019,4.846153846153846,Allegiant Air
2020,5.846153846153846,Allegiant Air
2021,6.785714285714286,Allegiant Air
2022,8.26086956521739,Allegiant Air
2023,9.148148148148149,Allegiant Air
