year,month,airport,total_monthly_departure_flights,total_monthly_departure_passengers,total_monthly_arrival_flights,total_monthly_arrival_passengers
2013,1,ABE,24.0,22143.0,29.0,20455.0
2013,1,ABI,3.0,5315.0,4.0,5409.0
2013,1,ABQ,101.0,162120.0,105.0,160796.0
2013,1,ABR,2.0,2037.0,3.0,2000.0
2013,1,ABY,5.0,2413.0,5.0,2335.0
2013,1,ACK,11.0,7457.0,10.0,6253.0
2013,1,ACT,6.0,3689.0,5.0,4099.0
2013,1,ACV,5.0,3768.0,4.0,4153.0
2013,1,ACY,52.0,43713.0,46.0,42304.0
2013,1,ADK,1.0,103.0,1.0,129.0
2013,1,ADQ,41.0,4917.0,40.0,5763.0
2013,1,AEX,21.0,12457.0,22.0,11818.0
2013,1,AGS,7.0,18936.0,13.0,18790.0
2013,1,AKN,31.0,701.0,27.0,767.0
2013,1,ALB,83.0,85112.0,88.0,80194.0
2013,1,ALO,3.0,1565.0,3.0,1807.0
2013,1,ALS,2.0,493.0,2.0,431.0
2013,1,ALW,1.0,2279.0,1.0,2470.0
2013,1,AMA,28.0,26768.0,33.0,27615.0
2013,1,ANC,275.0,140047.0,263.0,142924.0
2013,1,APN,3.0,1334.0,3.0,1155.0
2013,1,ART,1.0,1313.0,1.0,1514.0
2013,1,ASE,9.0,29314.0,8.0,24985.0
2013,1,ATL,576.0,3345143.0,568.0,3385228.0
2013,1,ATW,15.0,18654.0,16.0,16755.0
2013,1,ATY,3.0,353.0,3.0,359.0
2013,1,AUS,154.0,329118.0,160.0,341795.0
2013,1,AVL,12.0,18864.0,12.0,17992.0
2013,1,AVP,17.0,16185.0,25.0,14546.0
2013,1,AZA,57.0,66635.0,58.0,69510.0
2013,1,AZO,7.0,10792.0,7.0,9992.0
2013,1,BDL,146.0,194887.0,123.0,187439.0
2013,1,BET,194.0,9974.0,167.0,10588.0
2013,1,BFF,2.0,778.0,3.0,712.0
2013,1,BFL,14.0,11705.0,14.0,11110.0
2013,1,BFM,6.0,286.0,7.0,320.0
2013,1,BGM,3.0,7712.0,3.0,7635.0
2013,1,BGR,21.0,14267.0,16.0,13043.0
2013,1,BHM,81.0,97864.0,83.0,102006.0
2013,1,BIH,1.0,0.0,1.0,0.0
2013,1,BIL,42.0,29746.0,37.0,28368.0
2013,1,BIS,16.0,19224.0,13.0,19043.0
2013,1,BJI,4.0,1597.0,4.0,1557.0
2013,1,BKG,3.0,3750.0,3.0,3711.0
2013,1,BLI,26.0,41931.0,23.0,39948.0
2013,1,BLV,1.0,1204.0,1.0,1356.0
2013,1,BMI,16.0,16118.0,17.0,15552.0
2013,1,BNA,155.0,346170.0,152.0,353029.0
2013,1,BOI,69.0,100935.0,82.0,94722.0
2013,1,BOS,304.0,971782.0,294.0,1004561.0
2013,1,BQK,1.0,1922.0,1.0,1802.0
2013,1,BQN,17.0,17914.0,10.0,18066.0
2013,1,BRD,6.0,1067.0,5.0,1025.0
2013,1,BRO,4.0,6142.0,3.0,5913.0
2013,1,BRW,19.0,2552.0,23.0,3069.0
2013,1,BTM,1.0,1551.0,1.0,1487.0
2013,1,BTR,13.0,28316.0,14.0,29274.0
2013,1,BTV,28.0,45926.0,32.0,43999.0
2013,1,BUF,124.0,174378.0,117.0,170807.0
2013,1,BUR,90.0,146568.0,97.0,146216.0
2013,1,BWI,205.0,756729.0,189.0,753704.0
2013,1,BZN,28.0,33422.0,33.0,32454.0
2013,1,CAE,44.0,34078.0,49.0,38213.0
2013,1,CAK,34.0,64127.0,32.0,61216.0
2013,1,CDB,15.0,583.0,15.0,1042.0
2013,1,CDC,4.0,904.0,4.0,943.0
2013,1,CDV,9.0,694.0,7.0,755.0
2013,1,CEC,5.0,812.0,5.0,1075.0
2013,1,CGI,1.0,449.0,1.0,427.0
2013,1,CHA,15.0,21178.0,14.0,21121.0
2013,1,CHO,11.0,16108.0,12.0,17177.0
2013,1,CHS,91.0,78913.0,96.0,77741.0
2013,1,CIC,2.0,1199.0,2.0,1462.0
2013,1,CID,43.0,38351.0,46.0,38322.0
2013,1,CIU,2.0,1585.0,3.0,1404.0
2013,1,CKB,11.0,771.0,10.0,783.0
2013,1,CLD,1.0,4147.0,1.0,3976.0
2013,1,CLE,214.0,306739.0,201.0,304651.0
2013,1,CLL,13.0,5002.0,12.0,5611.0
2013,1,CLT,373.0,1598055.0,369.0,1605265.0
2013,1,CMH,164.0,214413.0,160.0,218837.0
2013,1,CMI,11.0,5822.0,10.0,6129.0
2013,1,CMX,5.0,1685.0,3.0,1783.0
2013,1,CNY,1.0,145.0,1.0,167.0
2013,1,COD,3.0,1735.0,3.0,1670.0
2013,1,COS,32.0,57985.0,34.0,58842.0
2013,1,COU,10.0,3523.0,11.0,3834.0
2013,1,CPR,11.0,7700.0,16.0,7682.0
2013,1,CRP,15.0,21337.0,13.0,22034.0
2013,1,CRW,17.0,16790.0,16.0,16351.0
2013,1,CSG,15.0,5034.0,10.0,5228.0
2013,1,CVG,210.0,189560.0,190.0,193626.0
2013,1,CWA,10.0,9071.0,10.0,7697.0
2013,1,CYS,3.0,948.0,3.0,971.0
2013,1,DAB,12.0,21132.0,15.0,21425.0
2013,1,DAL,83.0,288130.0,88.0,290794.0
2013,1,DAY,51.0,92259.0,52.0,91272.0
2013,1,DBQ,2.0,2486.0,2.0,2191.0
2013,1,DCA,264.0,702112.0,258.0,735587.0
2013,1,DDC,2.0,417.0,2.0,477.0
2013,1,DEC,2.0,527.0,2.0,445.0
2013,1,DEN,535.0,1955809.0,531.0,1944546.0
2013,1,DFW,382.0,2235409.0,376.0,2269057.0
2013,1,DHN,3.0,3210.0,2.0,3293.0
2013,1,DIK,4.0,1379.0,4.0,1624.0
2013,1,DLG,30.0,1234.0,24.0,1287.0
2013,1,DLH,11.0,11379.0,11.0,10345.0
2013,1,DRO,11.0,15002.0,16.0,13904.0
2013,1,DRT,4.0,888.0,2.0,977.0
2013,1,DSM,90.0,83378.0,82.0,82594.0
2013,1,DTW,428.0,1095798.0,427.0,1110465.0
2013,1,DVL,1.0,194.0,1.0,216.0
2013,1,EAR,4.0,968.0,3.0,1050.0
2013,1,EAT,7.0,4074.0,6.0,3813.0
2013,1,EAU,3.0,1953.0,2.0,1593.0
2013,1,ECP,20.0,20482.0,19.0,20204.0
2013,1,EGE,15.0,36940.0,15.0,31477.0
2013,1,EKO,1.0,1458.0,1.0,1520.0
2013,1,ELM,6.0,10169.0,7.0,9902.0
2013,1,ELP,87.0,97337.0,87.0,99005.0
2013,1,ENV,30.0,4329.0,31.0,4414.0
2013,1,ERI,3.0,7955.0,5.0,7243.0
2013,1,ESC,3.0,906.0,3.0,639.0
2013,1,EUG,28.0,28731.0,25.0,30091.0
2013,1,EVV,8.0,11998.0,11.0,11815.0
2013,1,EWN,9.0,7699.0,11.0,8430.0
2013,1,EWR,366.0,1289225.0,380.0,1261971.0
2013,1,EYW,30.0,37807.0,33.0,33667.0
2013,1,FAI,133.0,29055.0,105.0,32933.0
2013,1,FAR,24.0,33852.0,22.0,32326.0
2013,1,FAT,34.0,49919.0,29.0,52885.0
2013,1,FAY,10.0,17184.0,13.0,17780.0
2013,1,FCA,8.0,12892.0,11.0,11301.0
2013,1,FLG,3.0,3549.0,3.0,3576.0
2013,1,FLL,281.0,1058332.0,280.0,1028143.0
2013,1,FLO,1.0,4815.0,1.0,4553.0
2013,1,FNL,1.0,103.0,1.0,102.0
2013,1,FNT,14.0,30669.0,14.0,27913.0
2013,1,FOD,2.0,235.0,2.0,240.0
2013,1,FOE,6.0,504.0,5.0,332.0
2013,1,FSD,39.0,36165.0,37.0,33822.0
2013,1,FSM,2.0,5751.0,3.0,5624.0
